music_id,music_name,music_url,music_author,music_album,music_list_id
554245069,好像掉进爱情海里 (对唱版),http://m10.music.126.net/20190509103129/a5ed57b75010b83008809b0655dad3c2/ymusic/ac8c/32ce/ad16/b16020d726148f7ee454b22498341fbf.mp3,赵露思,谷嘉诚,955
483214603,冬日里的暖阳,http://m10.music.126.net/20190509103136/7ab12e87b102eccdee5e7cb86a3bf734/ymusic/6788/ce73/2f59/b2b322fe58db263e5dd77cfbf3ecafb3.mp3,刘莱斯,冬日里的暖阳,955
502925986,温暖的房间,http://m10.music.126.net/20190509103142/d6f8024c0d1fa9df7a7ba5f6cf174e06/ymusic/c7d6/a443/b80a/6fc1caca4c30bcb040052e9a6f20ee67.mp3,刘瑞琦,温暖的房间,955
1329719293,舒伯特玫瑰,http://m10.music.126.net/20190509103148/0ecb4312d9db2b043088fdb65b4550e5/ymusic/0759/5608/0f59/035b97e26aab4396e2598356d29e1e22.mp3,蓝心羽,翁梓铭,955
1353010204,我们的猫,http://m10.music.126.net/20190509103155/58f36bfcc9dfa3475ec3c075b63b3277/ymusic/0158/065f/055e/627d9ef8ac15b413d31d24bfa9eb9b7d.mp3,颜小健,青琰,955
1313558665,宝贝儿,http://m10.music.126.net/20190509103201/42b289ebe81ebc65b4c5dc8514f2f769/ymusic/f9fb/b522/1d00/56010b2686d5c168bcfeb1dfb63685c4.mp3,吴青峰,宝贝儿,955
30706318,我想和你虚度时光,http://m10.music.126.net/20190509103207/a3bbc1a946eade53e5eb6ee48bab48e9/ymusic/a192/dee1/2df5/a2b7d0dc20cc11b42b367ad2db49b2e2.mp3,程璧,莫西子诗,955
493631448,Dreams Tonite,http://m10.music.126.net/20190509103214/249ddde7e6a8de157c5d108eeba74698/ymusic/0e61/94c3/6a79/b6c0ec2ad918c17700a8b804c0e3cef4.mp3,Alvvays,Antisocialites,956
441438192,Sonnet 1,http://m10.music.126.net/20190509103220/e4889109b335a6851b5aa3fd5d31eb37/ymusic/614e/ebb7/2909/feca4004f88cedb9f3b7c6bae19c4525.mp3,The Cheers Cheers,Sonnet 1,956
408055512,Electric,http://m10.music.126.net/20190509103226/e2dca2048bcb5673997644c5a3d6c96d/ymusic/0253/515f/0752/5971d4c5fbf5e53f83d80809e57eaaad.mp3,Brett,Mode,956
1325896199,Camped,http://m10.music.126.net/20190509103233/03cea009950b5681a419c6487f52e8a0/ymusic/936e/4eb7/498a/d50bd98637c201167f7ccaa7bd0d81aa.mp3,RINI,Camp,956
16957722,Intro - intro,http://m10.music.126.net/20190509103239/c39ca1fd3574cff0d999978436a4d557/ymusic/9784/0825/0b17/24ba6b6908339062df1f4f4a5ab1edba.mp3,M83,"Hurry Up, We're Dreaming.",956
17276013,Look On Down From The Bridge,http://m10.music.126.net/20190509103245/5ee02a94ee0dfa39d290d59e1a763790/ymusic/c833/7ce6/3b5a/d19a1705d7ea94ef9b154d1abdc4ff3f.mp3,Mazzy Star,Among My Swan,956
404184867,This Must Be My Dream,http://m10.music.126.net/20190509103251/354a3139dc0f799ee6d2256df431fdf0/ymusic/456b/a281/6e44/7a9520ce9be36ff586e321ccea208509.mp3,The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it",956
3917339,Oimiakon,http://m10.music.126.net/20190509103257/25215bc6ae333762880e67e1e38a930b/ymusic/bbb1/64da/cb29/8a48fd8b409e8d4e553ec0652ce54510.mp3,A Red Season Shade,Interiors,956
456175245,Big Picture,http://m10.music.126.net/20190509103303/91b4bdea54188e977a8b211b7725225c/ymusic/db4a/1b9f/df1b/560171c658581257f200ab247dcfdce2.mp3,London Grammar,Big Picture,956
26145696,Youth,http://m10.music.126.net/20190509103309/32d76c026b3ccd016b378d7c9d75f3fe/ymusic/7a9e/773b/e6b1/52c8b50e83acf7184fa3a3c463155f69.mp3,Daughter,If You Leave,956
28313105,Heaven Sent,http://m10.music.126.net/20190509103315/42f7bbee38f5e5d5cc7274ed2727a3dc/ymusic/72d1/54ca/2099/c1dbc3234d181b65504e40badc0e2051.mp3,Mr. Little Jeans,Pocketknife,956
33075109,Wildflower,http://m10.music.126.net/20190509103322/5d42c60ab1ac332c634e8353526c4fdc/ymusic/a594/6f3b/a1ab/f8269995256e2dddb578af5347d620f2.mp3,Beach House,Depression Cherry,956
